"time","nuts","region","bovine","cows","swine","sheep","goats","cereals_grain","tot.precipitation","months.of.droughts","total.extreme.precipitation.mm","fire.weather.index","frost.days","heatdays","mean.wind.speed","temperature","deaths","fertility.rate","life.expectancy","Crude.rate.of.net.migration","Total.population.change","tot.population","GDP.in.millions","employment.rate","Pre.primary.education","Primary..lower.and.upper.secondary.education","First.and.second.stage.of.tertiary.education","NEETS..","number.of.tourists"
2000,"ITF1","Abruzzo",82.9,30.7,115.1,281.6,15.4,103.2,773.196783902391,2.99336305460939,134.645223605057,7.74158497062731,41.5825520304363,0.943093912552226,1.83197953743799,12.884243609535,12734,1.16,80.5,1.8,183,1261117,"24.106,84","56,3",35083,170134,43663,19.6,"6.280.671"
2001,"ITF1","Abruzzo",92.2,36.4,124.2,326,14,95.9,731.729667809301,4.93445245106931,70.6913587648623,9.89602513333759,41.8605172960854,0,1.97556470794229,12.593633283009,12428,1.17,81,NA,NA,1261300,"25.289,99","58,5",35098,168715,44595,16.4,"6.666.269"
2002,"ITF1","Abruzzo",92.5,35.3,123,303.3,14.9,96.4,1044.6153495962,2.4583758422121,262.061968956278,8.22341168571734,33.9006971710425,0,1.80459086947913,12.4151084526536,13275,1.1446,80.7,NA,5446,1262187,"25.809,1","59,2",34412,167779,49633,14.7,"6.856.015"
2003,"ITF1","Abruzzo",88.7,34,110.2,334.2,11.7,91.9,928.199712490922,3.63639246089435,237.176642506771,6.67284499663657,55.3011271864511,1.11738042972633,1.86247244792257,12.5644139774247,13672,1.18781,80.8,NA,11025,1267633,"26.245,23","58,0",34587,167265,53125,12.7,"7.115.155"
2004,"ITF1","Abruzzo",NA,NA,NA,NA,NA,89.7,1171.32468381425,0.272436882464765,255.802122990497,9.19023733989407,45.6828879003227,0,1.84671129113179,12.280067600543,13075,1.20263,81.2,NA,8499,1278658,"26.353,03","56,4",34806,165669,58114,15.7,"6.933.216"
2005,"ITF1","Abruzzo",NA,NA,NA,NA,NA,83.1,1154.13905998037,0,228.078835802222,8.05570021886763,65.0707913163971,0.730334508787908,1.86481099743016,11.5813675399598,13493,1.22116,81.4,NA,5842,1287157,"27.686,46","57,1",34551,163399,64296,15.8,"6.853.114"
2006,"ITF1","Abruzzo",NA,NA,NA,NA,NA,84.4,780.986020609647,1.39547700311118,101.537647340971,10.1289854054597,46.266102050991,0.0898437576368599,1.78570306397856,12.2505354494053,13223,1.22361,81.6,NA,3870,1292999,"28.986,61","57,6",34506,163894,71338,14.6,"7.449.579"
2007,"ITF1","Abruzzo",86,33,115.7,345.6,12,83.8,768.919794917638,7.81176846481446,96.2826119254046,6.14456507547323,44.5485038566402,5.67390370142238,1.86637256886336,12.4844911785668,13700,1.27046,81.7,NA,14438,1296869,"30.209,08","57,9",33987,162224,68103,13.9,"7.374.646"
2008,"ITF1","Abruzzo",83.45,31.28,NA,343.92,12.59,NA,1078.09298751449,0.880684246795481,304.820504590971,9.5386184841502,36.2504584942893,0.0909327154523203,1.82869280739851,12.7567609297716,13720,1.30855,81.9,NA,10580,1311307,"31.015,94","58,8",34202,161261,66855,15.8,"7.560.476"
2009,"ITF1","Abruzzo",82.69,31.93,114.86,334.95,12.58,NA,1206.72159606571,0,257.377743472889,8.24867396327182,41.2213592673187,0.242846773870558,1.89613424548215,12.6814979033567,14597,1.28765,81.3,NA,4128,1321887,"29.899,38","55,7",34398,159430,69162,18.5,"6.653.927"
2010,"ITF1","Abruzzo",75.72,28.91,116.61,335.95,12.89,82.18,1148.20828536515,0,199.949330199891,9.64060198860784,46.4438778179078,0.119791676849146,1.8627385976313,12.149419158054,14232,1.34129,82.1,NA,3205,1326015,"30.810,88","55,4",35572,157389,65084,18.6,"7.306.951"
2011,"ITF1","Abruzzo",77.65,29.86,117.25,336.17,12.6,81.93,764.868709278089,1.90822434922173,173.596248090912,9.52798631259882,43.9233054691237,1.23863267203506,1.81511914618049,12.5423146055897,14227,1.32389,82.4,NA,2404,1329220,"32.245,31","56,6",36410,156323,70969,17.7,"7.422.437"
2012,"ITF1","Abruzzo",64.8,36.17,101.53,216.2,20.38,92.96,918.995057333497,3.67163997048983,245.322420071983,9.97627869129238,49.0802656438755,2.66815880891494,1.92846465717442,13.1158503136033,14522,1.32691,82.6,3.2,959,1331624,"32.213,29","56,7",36139,155037,69863,19.9,"7.252.826"
